iter	Passed	Remaining
263	640930	572953
264	642950	570163
265	644749	567185
266	646792	564429
267	648915	561747
268	650926	558974
269	652981	556243
270	654881	553386
271	657043	550756
272	659132	548069
273	661142	545321
274	663065	542508
275	665369	540010
276	667419	537309
277	669357	534523
278	671736	532092
279	674002	529573
280	676552	527277
281	678776	524727
282	680880	522088
283	683064	519513
284	685503	517134
285	687486	514412
286	689517	511732
287	691562	509066
288	693896	506616
289	695795	503852
290	698028	501333
291	699877	498543
292	701931	495903
293	703488	492920
294	705568	490310
295	707679	487724
296	709572	484993
297	711606	482364
298	713648	479743
299	715661	477107
300	717715	474503
301	719423	471675
302	721381	469016
303	723545	466496
304	725570	463889
305	727560	461263
306	729811	458806
307	731694	456121
308	733972	453685
309	736010	451102
310	737921	448447
311	739840	445801
312	741847	443212
313	743945	440681
314	746001	438127
315	748043	435569
316	750017	432975
317	751977	430377
318	754036	427838
319	756236	425383
320	758887	423180
321	761414	420906
322	763850	418580
323	766353	416290
324	768686	413908
325	771065	411550
326	773861	409412
327	775989	406921
328	778193	404471
329	780449	402049
330	782566	399558
331	785344	397403
332	787533	394949
333	790021	392645
334	792511	390341
335	794950	388011
336	796960	385473
337	799029	382966
338	801157	380490
339	804258	378474
340	806815	376198
341	809657	374052
342	812696	371992
343	934707	423878
344	936965	420955
345	939076	417970
346	941050	414929
347	943052	411908
348	945066	408896
349	947330	405998
350	949566	403092
351	951426	400031
352	953876	397223
353	956053	394304
354	958072	391325
355	960217	388402
356	962364	385484
357	964647	382625
358	966853	379739
359	969237	376925
360	971706	374147
361	973683	371183
362	977478	368910
363	980518	366347
364	984049	363963
365	988134	361775
366	991836	359439
367	995295	357008
368	998866	354611
369	1001870	352008
370	1005308	349554
371	1008444	346991
372	1011627	344441
373	1015047	341967
374	1018050	339350
375	1021309	336814
376	1024508	334256
377	1027933	331766
378	1031226	329230
379	1034452	326669
380	1037548	324063
381	1041033	321575
382	1044433	319056
383	1047536	316443
384	1050474	313778
385	1053982	311279
386	1057493	308777
387	1060635	306162
388	1064085	303633
389	1066976	300942
390	1070021	298292
391	1073121	295656
392	1076047	292969
393	1078820	290241
394	1081700	287540
395	1084188	284736
396	1087218	282074
397	1090094	279370
398	1093028	276681
399	1096072	274018
400	1098947	271311
401	1101722	268579
402	1104379	265818
403	1107542	263178
404	1110374	260458
405	1113197	257735
406	1116114	255033
407	1118958	252314
408	1121200	249460
409	1124064	246745
410	1127036	244054
411	1129964	241351
412	1132619	238590
413	1135580	235893
414	1138651	233217
415	1141435	230482
416	1144336	227769
417	1147291	225066
418	1150205	222354
419	1153482	219710
420	1156627	217039
421	1159484	214312
422	1162577	211627
423	1165480	208906
424	1168686	206238
425	1171746	203542
426	1174667	200821
427	1177572	198096
428	1180488	195372
429	1183663	192689
430	1186760	189991
431	1189761	187277
432	1192976	184594
433	1195724	181838
434	1198339	179062
435	1201236	176328
436	1204472	173642
437	1207360	170904
438	1210193	168158
439	1212856	165389
440	1215944	162677
441	1218651	159913
442	1221446	157161
443	1224347	154422
444	1226971	151648
445	1229705	148888
446	1232289	146110
447	1235166	143367
448	1238084	140628
449	1241220	137913
450	1244099	135168
451	1247231	132449
452	1249898	129680
453	1252950	126950
454	1256015	124221
455	1258898	121472
456	1261524	118699
457	1264501	115958
458	1267422	113212
459	1270194	110451
460	1273136	107705
461	1275849	104940
462	1278891	102200
463	1281800	99450
464	1284921	96714
465	1287560	93942
466	1290518	91192
467	1293437	88440
468	1296158	85673
469	1298817	82903
470	1301422	80130
471	1304285	77372
472	1307206	74618
473	1309820	71846
474	1312355	69071
475	1315624	66333
476	1318355	63568
477	1321629	60828
478	1324479	58066
479	1327349	55306
480	1330257	52546
481	1333083	49783
482	1335838	47017
483	1338378	44243
484	1340730	41465
485	1343535	38702
486	1346448	35942
487	1349490	33184
488	1352202	30417
489	1355130	27655
490	1358058	24893
491	1361043	22130
492	1363915	19365
493	1366645	16598
494	1369603	13834
495	1372645	11069
496	1375859	8304
497	1379016	5538
498	1382090	2769
499	1384887	0
