iter	Logloss
0	0.612692832
1	0.5402888638
2	0.4781057493
3	0.4265795887
4	0.3825202984
5	0.3477693652
6	0.3149441359
7	0.2870262266
8	0.263948611
9	0.2446428284
10	0.2264930493
11	0.2111858344
12	0.198054351
13	0.1863602001
14	0.1770229865
15	0.1676853936
16	0.1599167164
17	0.1541448166
18	0.1479411688
19	0.1434824868
20	0.1397221595
21	0.1357271088
22	0.1321433129
23	0.1292004386
24	0.1267052541
25	0.1239616474
26	0.1221386956
27	0.1203556916
28	0.1187615621
29	0.1174059623
30	0.1158529691
31	0.1147671458
32	0.1132897837
33	0.1116445519
34	0.1107043118
35	0.1097351365
36	0.1087420116
37	0.1080013956
38	0.1071426001
39	0.1062495497
40	0.1053964229
41	0.1045718186
42	0.1038672664
43	0.1030780188
44	0.1026093748
45	0.102179162
46	0.1018455585
47	0.1013673818
48	0.1008847713
49	0.1003843048
50	0.0999477618
51	0.09963032089
52	0.0992692769
53	0.09905025268
54	0.09864169106
55	0.09838449866
56	0.0980530524
57	0.09772632615
58	0.09741441707
59	0.0970820273
60	0.09678144599
61	0.09652430598
62	0.0962644845
63	0.09599067766
64	0.09557022565
65	0.09531902517
66	0.09509075156
67	0.09487802439
68	0.09469241306
69	0.09454583347
70	0.0942586354
71	0.09409089141
72	0.09387467922
73	0.09365511455
74	0.09346540078
75	0.0932738607
76	0.0930241431
77	0.09285260038
78	0.09273013084
79	0.09249955734
80	0.09234147847
81	0.09214348796
82	0.09201911485
83	0.09184691651
84	0.09167874867
85	0.0915247069
86	0.09129023557
87	0.09114049053
88	0.09092443422
89	0.09081359363
90	0.09068183615
91	0.09049705642
92	0.09035267718
93	0.09020686659
94	0.08997949604
95	0.08980745289
96	0.08965027788
97	0.0894948557
98	0.08927864302
99	0.08912239409
100	0.08896404502
101	0.08883616311
102	0.08875704734
103	0.08852511644
104	0.08838883595
105	0.08822905179
106	0.08811346274
107	0.08797173998
108	0.08783234697
109	0.08772519415
110	0.08766013396
111	0.08754838153
112	0.08743536088
113	0.08731925429
114	0.08718839021
115	0.08706817911
116	0.08698300202
117	0.08689078717
118	0.08678290067
119	0.0866452175
120	0.08654404412
121	0.0864193308
122	0.08631807184
123	0.08620901646
124	0.08610945723
125	0.08601974637
126	0.08594671174
127	0.08583784439
128	0.08574018666
129	0.08563323498
130	0.08553576504
131	0.08540907782
132	0.08528287434
133	0.08516961601
134	0.08507274016
135	0.08500057181
136	0.08491781778
137	0.08484169055
138	0.08474339132
139	0.08466849569
140	0.08460006017
141	0.0845152898
142	0.08438076748
143	0.08426883423
144	0.08417222818
145	0.08408521442
146	0.0840351354
147	0.08397067844
148	0.08390427824
149	0.08383552038
150	0.08377614846
151	0.0836952607
152	0.08363237089
153	0.08355740036
154	0.08349972596
155	0.08338744636
156	0.08329550839
157	0.08322412523
158	0.08312528
159	0.08302973395
160	0.08295175882
161	0.08286724567
162	0.08280141521
163	0.08273172172
164	0.08265618877
165	0.08259639128
166	0.08251298715
167	0.08242311614
168	0.08234488578
169	0.08224450106
170	0.08215040962
171	0.08206944139
172	0.08199236439
173	0.081895736
174	0.08181270911
175	0.0817333103
176	0.08167038569
177	0.08161806462
178	0.08152722032
179	0.08143467346
180	0.08136154293
181	0.08118767251
182	0.08114625097
183	0.0810747674
184	0.08100338483
185	0.08091516314
186	0.08078183312
187	0.08071350333
188	0.08065938204
189	0.08061551923
190	0.08050981942
191	0.08045818123
192	0.08040156316
193	0.08035495156
194	0.08031465718
195	0.08025762049
196	0.08018466327
197	0.08011924246
198	0.08004807065
199	0.0799865596
200	0.0799187345
201	0.07988221455
202	0.07979753221
203	0.0797521886
204	0.07967364869
205	0.07962135508
206	0.07953648518
207	0.07948699399
208	0.07945070536
209	0.07938160023
210	0.0793269395
211	0.07924273679
212	0.07920250763
213	0.07913722753
214	0.07906382234
215	0.07896530122
216	0.07893412076
217	0.07888108782
218	0.07879327403
219	0.07870553228
220	0.07866875148
221	0.07857821992
222	0.07848449327
223	0.07841053866
224	0.07836845057
225	0.07830062543
226	0.07826391655
227	0.0782392782
228	0.07816475625
229	0.07812316137
230	0.07807116113
231	0.07804200047
232	0.0779827946
233	0.07791243362
234	0.07785691097
235	0.07775585335
236	0.07769168897
237	0.07762280604
238	0.07759656665
239	0.07755236772
240	0.07747397473
241	0.07740078154
242	0.07733561838
243	0.07728285876
244	0.07722113121
245	0.07719767622
246	0.07717607279
247	0.07711252303
248	0.07705166175
249	0.0770105126
250	0.07698229458
251	0.07687569824
252	0.07678008803
253	0.07671758775
254	0.07667593857
255	0.07656487995
256	0.07652844328
257	0.07649149033
258	0.07646962909
259	0.07639896973
260	0.07632760721
261	0.07628821889
262	0.07621170499
263	0.07616870547
264	0.0761169763
265	0.07608712194
266	0.07605017586
267	0.07601241998
268	0.07595432296
269	0.07590507644
270	0.07585030176
271	0.07581635774
272	0.07574370836
273	0.07567681076
274	0.07563789576
275	0.07560591835
276	0.07557574929
277	0.075526716
278	0.07547332685
279	0.07544325815
280	0.07538888033
281	0.07533987354
282	0.07528076156
283	0.07522885117
284	0.07517638806
285	0.07515751544
286	0.07512112805
287	0.07511449071
288	0.07504240857
289	0.07502251262
290	0.07496790601
291	0.07491802489
292	0.07488886986
293	0.07480986635
294	0.07477529365
295	0.07466670355
296	0.07463036949
297	0.07459663121
298	0.07455021293
299	0.0744657509
300	0.07441695927
301	0.07436133768
302	0.07433126686
303	0.0742382609
304	0.07419699883
305	0.07413152801
306	0.07409219794
307	0.07402347345
308	0.07398921301
309	0.07393814635
310	0.07391678248
311	0.07385257814
312	0.07383548992
313	0.07380152795
314	0.07371901897
315	0.07367624915
316	0.07364662495
317	0.07359461226
318	0.07356170318
319	0.07351877459
320	0.07341088755
321	0.07336677192
322	0.07333925004
323	0.07322598178
324	0.07315262661
325	0.07309718825
326	0.07303753952
327	0.07300590049
328	0.07297296799
329	0.0729403755
330	0.0729261786
331	0.0728710402
332	0.07284925268
333	0.07281201246
334	0.07275920731
335	0.07271235846
336	0.07270671301
337	0.07265904696
338	0.0726094797
339	0.07255956111
340	0.07251366386
341	0.07246167374
342	0.07243063656
343	0.07240152909
344	0.07236608161
345	0.07233037011
346	0.07228914686
347	0.07226251812
348	0.07222010101
349	0.07217629375
350	0.07214862283
351	0.07211098819
352	0.07208342407
353	0.07205080803
354	0.07201334877
355	0.07196921944
356	0.07188440943
357	0.07185848387
358	0.07178287342
359	0.07174244574
360	0.0716841699
361	0.0716542385
362	0.07161188811
363	0.07155501393
364	0.07153600316
365	0.0714962202
366	0.07145354924
367	0.07142150022
368	0.07139337734
369	0.07134617899
370	0.07132561976
371	0.07129754272
372	0.07127273547
373	0.07122792596
374	0.07120517464
375	0.07115104072
376	0.07112185479
377	0.07109263718
378	0.07105024835
379	0.07101463506
380	0.07095101257
381	0.07090720422
382	0.07086583744
383	0.0708259249
384	0.07080198776
385	0.07075971686
386	0.07071285818
387	0.07069300051
388	0.0706597908
389	0.07062967785
390	0.07058345268
391	0.07054649866
392	0.07050500175
393	0.07047108918
394	0.07040115983
395	0.07034633577
396	0.07030333951
397	0.07028698868
398	0.07025991988
399	0.07021995269
400	0.07018736245
401	0.07017440286
402	0.07013158579
403	0.07009326878
404	0.07005543585
405	0.07003755767
406	0.070004432
407	0.06998831811
408	0.06993596031
409	0.06991593395
410	0.06987359044
411	0.06985729897
412	0.06984491837
413	0.06982016013
414	0.06980129449
415	0.06978303464
416	0.06975992789
417	0.06974280154
418	0.06971759427
419	0.06968197665
420	0.06964588413
421	0.06963105989
422	0.06960958637
423	0.06958512417
424	0.06954806562
425	0.06951667222
426	0.0694065312
427	0.0693851836
428	0.06933025955
429	0.06928317116
430	0.06924772808
431	0.06921142687
432	0.06918074779
433	0.06914100548
434	0.06912051361
435	0.06907324339
436	0.06899275268
437	0.06894008112
438	0.06892203608
439	0.06888011924
440	0.06884786768
441	0.0688136341
442	0.06879079752
443	0.0687525777
